led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,9703,50,0.93,-1.18,-0.73,-2.40,2.34,9.21,0.98474,0.12085,0.12524,0.00507,359.38,-14.13,-14.25,-0.04,-0.00,0.00
0,9753,50,1.21,-1.04,0.32,-2.40,2.34,9.21,0.98474,0.12073,0.12512,0.00507,359.38,-14.13,-14.25,-0.00,-0.03,0.00
0,9803,50,1.02,-0.10,0.74,-2.40,2.33,9.21,0.98480,0.12024,0.12524,0.00507,359.38,-14.19,-14.19,0.03,-0.01,0.00
0,9853,50,0.33,-0.02,-0.81,-2.41,2.33,9.21,0.98474,0.12024,0.12555,0.00513,359.38,-14.19,-14.19,0.03,0.03,-0.01
0,9903,50,0.70,-1.02,-0.21,-2.41,2.33,9.21,0.98474,0.12000,0.12579,0.00519,359.38,-14.19,-14.19,0.03,0.02,-0.01
0,9953,50,2.05,-1.94,-0.21,-2.41,2.32,9.21,0.98480,0.11981,0.12543,0.00519,359.38,-14.19,-14.13,-0.07,0.01,0.01
0,10003,50,2.34,-0.36,-0.22,-2.41,2.31,9.21,0.98486,0.11932,0.12543,0.00525,359.38,-14.19,-14.13,0.00,-0.01,0.00
0,10053,50,1.24,-0.17,-0.53,-2.40,2.32,9.21,0.98486,0.11945,0.12531,0.00525,359.38,-14.19,-14.06,-0.08,0.06,-0.01
0,10103,50,1.01,-0.26,-1.22,-2.40,2.32,9.21,0.98486,0.11963,0.12524,0.00513,359.38,-14.19,-14.13,0.03,0.03,-0.01
0,10153,50,1.90,-0.74,0.77,-2.40,2.32,9.21,0.98486,0.11969,0.12506,0.00513,359.38,-14.13,-14.13,0.02,-0.00,-0.00
0,10203,50,2.09,-1.20,0.38,-2.40,2.32,9.21,0.98486,0.11981,0.12494,0.00507,359.38,-14.19,-14.13,0.01,0.09,-0.01
0,10253,50,1.74,-0.92,0.45,-2.40,2.33,9.21,0.98486,0.12006,0.12506,0.00494,359.38,-14.19,-14.13,-0.01,0.05,-0.01
0,10303,50,1.14,-0.32,0.08,-2.40,2.33,9.21,0.98486,0.12006,0.12506,0.00500,359.38,-14.19,-14.19,0.00,0.02,-0.01
